,"Núm.
","País
","
","
","
","Total
"
0,1, Estados Unidos(USA),39,41,33,113
1,2, China(CHN),38,32,19,89
2,3, Japón(JPN),27,14,17,58
3,4, Reino Unido(GBR),22,20,22,64
4,5,ROC (ROC),20,28,23,71
5,6, Australia(AUS),17,7,22,46
6,7, Países Bajos(NED),10,12,14,36
7,8, Francia(FRA),10,12,11,33
8,9, Alemania(GER),10,11,16,37
9,10, Italia(ITA),10,10,20,40
10,11, Canadá(CAN),7,7,10,24
11,12, Brasil(BRA),7,6,8,21
12,13, Nueva Zelanda(NZL),7,6,7,20
13,14, Cuba(CUB),7,3,5,15
14,15, Hungría(HUN),6,7,7,20
15,16, Corea del Sur(KOR),6,4,10,20
16,17, Polonia(POL),4,5,5,14
17,18, República Checa(CZE),4,4,3,11
18,19, Kenia(KEN),4,4,2,10
19,20, Noruega(NOR),4,2,2,8
20,21, Jamaica(JAM),4,1,4,9
21,22, España(ESP),3,8,6,17
22,23, Suecia(SWE),3,6,0,9
23,24, Suiza(SUI),3,4,6,13
24,25, Dinamarca(DEN),3,4,4,11
25,26, Croacia(CRO),3,3,2,8
26,27, Irán(IRI),3,2,2,7
27,28, Serbia(SRB),3,1,5,9
28,29, Bélgica(BEL),3,1,3,7
29,30, Bulgaria(BUL),3,1,2,6
30,31, Eslovenia(SLO),3,1,1,5
31,32, Uzbekistán(UZB),3,0,2,5
32,33, Georgia(GEO),2,5,1,8
33,34, China Taipéi(TPE),2,4,6,12
34,35, Turquía(TUR),2,2,9,13
35,36, Grecia(GRE),2,1,1,4
36,36, Uganda(UGA),2,1,1,4
37,38, Ecuador(ECU),2,1,0,3
38,39, Irlanda(IRL),2,0,2,4
39,39, Israel(ISR),2,0,2,4
40,41, Catar(QAT),2,0,1,3
41,42, Bahamas(BAH),2,0,0,2
42,42, Kosovo(KOS),2,0,0,2
43,44, Ucrania(UKR),1,6,12,19
44,45, Bielorrusia(BLR),1,3,3,7
45,46, Rumania(ROU),1,3,0,4
46,46, Venezuela(VEN),1,3,0,4
47,48, India(IND),1,2,4,7
48,49, Hong Kong(HKG),1,2,3,6
49,50, Filipinas(PHI),1,2,1,4
50,50, Eslovaquia(SVK),1,2,1,4
51,52, Sudáfrica(RSA),1,2,0,3
52,53, Austria(AUT),1,1,5,7
53,54, Egipto(EGY),1,1,4,6
54,55, Indonesia(INA),1,1,3,5
55,56, Etiopía(ETH),1,1,2,4
56,56, Portugal(POR),1,1,2,4
57,58, Túnez(TUN),1,1,0,2
58,59, Estonia(EST),1,0,1,2
59,59, Fiyi(FIY),1,0,1,2
60,59, Letonia(LAT),1,0,1,2
61,59, Tailandia(THA),1,0,1,2
62,63, Bermudas(BER),1,0,0,1
63,63, Marruecos(MAR),1,0,0,1
64,63, Puerto Rico(PUR),1,0,0,1
65,66, Colombia(COL),0,4,1,5
66,67, Azerbaiyán(AZE),0,3,4,7
67,68, República Dominicana(DOM),0,3,2,5
68,69, Armenia(ARM),0,2,2,4
69,70, Kirguistán(KGZ),0,2,1,3
70,71, Mongolia(MGL),0,1,3,4
71,72, Argentina(ARG),0,1,2,3
72,72, San Marino(SMR),0,1,2,3
73,74, Jordania(JOR),0,1,1,2
74,74, Malasia(MAL),0,1,1,2
75,74, Nigeria(NGR),0,1,1,2
76,77, Arabia Saudita(KSA),0,1,0,1
77,77, Baréin(BRN),0,1,0,1
78,77, Lituania(LTU),0,1,0,1
79,77, Macedonia del Norte(MKD),0,1,0,1
80,77, Namibia(NAM),0,1,0,1
81,77, Turkmenistán(TKM),0,1,0,1
82,83, Kazajistán(KAZ),0,0,8,8
83,84, México(MEX),0,0,4,4
84,85, Finlandia(FIN),0,0,2,2
85,86, Botsuana(BOT),0,0,1,1
86,86, Burkina Faso(BFA),0,0,1,1
87,86, Costa de Marfil(CIV),0,0,1,1
88,86, Ghana(GHA),0,0,1,1
89,86, Granada(GRN),0,0,1,1
90,86, Kuwait(KUW),0,0,1,1
91,86, Moldavia(MDA),0,0,1,1
92,86, Siria(SYR),0,0,1,1
93,Total,93 países,340,338,402,1080
